"Timestamp","FCU-00-04  PIR Log","FCU-00-04   Enable Log","FCU-00-04  Status Log"
"11/03/2020 9:41:01 AM","0.00","1.00","0.00"
"11/03/2020 9:40:53 AM","0.00","0.00","0.00"
"11/03/2020 9:40:51 AM","0.00","0.00","1.00"
"11/03/2020 7:47:23 AM","0.00","1.00","1.00"
"11/03/2020 7:47:21 AM","0.00","1.00","0.00"
"11/03/2020 7:34:34 AM","0.00","0.00","0.00"
"11/03/2020 7:34:31 AM","0.00","0.00","1.00"
"11/03/2020 7:24:12 AM","0.00","1.00","1.00"
"11/03/2020 7:23:27 AM","0.00","1.00","0.00"
"11/03/2020 7:03:22 AM","0.00","1.00","1.00"
"11/03/2020 6:54:32 AM","1.00","1.00","1.00"
"11/03/2020 6:00:03 AM","0.00","1.00","1.00"
"11/03/2020 6:00:01 AM","0.00","1.00","0.00"
"10/03/2020 3:28:53 PM","0.00","0.00","0.00"
"10/03/2020 3:28:51 PM","0.00","0.00","1.00"
"10/03/2020 2:57:46 PM","0.00","1.00","1.00"
"10/03/2020 12:39:43 PM","1.00","1.00","1.00"
"10/03/2020 12:39:41 PM","1.00","1.00","0.00"
"10/03/2020 12:39:37 PM","1.00","0.00","0.00"
"10/03/2020 11:37:13 AM","0.00","0.00","0.00"
"10/03/2020 11:37:11 AM","0.00","0.00","1.00"
"10/03/2020 11:05:56 AM","0.00","1.00","1.00"
"10/03/2020 9:20:26 AM","1.00","1.00","1.00"
"10/03/2020 7:08:34 AM","0.00","1.00","1.00"
"10/03/2020 6:58:39 AM","1.00","1.00","1.00"
"10/03/2020 6:00:09 AM","0.00","1.00","1.00"
"10/03/2020 6:00:01 AM","0.00","1.00","0.00"
"9/03/2020 8:23:03 PM","0.00","0.00","0.00"
"9/03/2020 8:23:01 PM","0.00","0.00","1.00"
"9/03/2020 7:51:54 PM","0.00","1.00","1.00"
"9/03/2020 6:21:13 PM","1.00","1.00","1.00"
"9/03/2020 6:21:03 PM","0.00","1.00","1.00"
"9/03/2020 6:06:03 PM","1.00","1.00","1.00"
"9/03/2020 6:06:01 PM","1.00","1.00","0.00"
"9/03/2020 6:00:03 PM","1.00","0.00","0.00"
"9/03/2020 6:00:01 PM","1.00","0.00","1.00"
"9/03/2020 5:29:13 PM","1.00","1.00","1.00"
"9/03/2020 5:29:11 PM","1.00","1.00","0.00"
"9/03/2020 5:29:02 PM","1.00","0.00","0.00"
"9/03/2020 3:34:14 PM","0.00","0.00","0.00"
"9/03/2020 3:34:11 PM","0.00","0.00","1.00"
"9/03/2020 3:03:06 PM","0.00","1.00","1.00"
"9/03/2020 2:30:26 PM","1.00","1.00","1.00"
"9/03/2020 2:27:20 PM","0.00","1.00","1.00"
"9/03/2020 2:03:24 PM","1.00","1.00","1.00"
"9/03/2020 2:03:21 PM","1.00","1.00","0.00"
"9/03/2020 2:03:15 PM","1.00","0.00","0.00"
"9/03/2020 2:03:13 PM","0.00","0.00","0.00"
"9/03/2020 2:03:11 PM","0.00","0.00","1.00"
"9/03/2020 1:32:01 PM","0.00","1.00","1.00"
"9/03/2020 11:03:53 AM","1.00","1.00","1.00"
"9/03/2020 11:03:51 AM","1.00","1.00","0.00"
"9/03/2020 11:03:47 AM","1.00","0.00","0.00"
"9/03/2020 10:36:23 AM","0.00","0.00","0.00"
"9/03/2020 10:36:21 AM","0.00","0.00","1.00"
"9/03/2020 10:05:11 AM","0.00","1.00","1.00"
"9/03/2020 9:32:08 AM","1.00","1.00","1.00"
