"Timestamp","FCU-00-18 PIR Log","FCU-00-18Enable Log"
"30/01/2020 11:50:22 AM","0.00","0.00"
"30/01/2020 11:48:02 AM","0.00","1.00"
"30/01/2020 11:47:32 AM","0.00","0.00"
"30/01/2020 11:46:12 AM","0.00","1.00"
"30/01/2020 11:46:02 AM","0.00","0.00"
"30/01/2020 11:44:12 AM","0.00","1.00"
"30/01/2020 11:43:42 AM","0.00","0.00"
"30/01/2020 11:41:52 AM","0.00","1.00"
"30/01/2020 11:41:22 AM","0.00","0.00"
"30/01/2020 11:40:12 AM","0.00","1.00"
"30/01/2020 11:39:42 AM","0.00","0.00"
"30/01/2020 11:38:52 AM","0.00","1.00"
"30/01/2020 11:38:42 AM","0.00","0.00"
"30/01/2020 11:37:32 AM","0.00","1.00"
"30/01/2020 11:37:02 AM","0.00","0.00"
