"Timestamp","FCU-00-06   PIR Log","FCU-00-06   Enable Log","FCU-00-06   Status Log"
"11/03/2020 3:14:14 PM","1.00","1.00","1.00"
"11/03/2020 3:13:45 PM","0.00","1.00","1.00"
"11/03/2020 2:17:26 PM","1.00","1.00","1.00"
"11/03/2020 2:14:22 PM","0.00","1.00","1.00"
"11/03/2020 2:05:19 PM","1.00","1.00","1.00"
"11/03/2020 2:05:13 PM","1.00","1.00","0.00"
"11/03/2020 2:05:06 PM","1.00","0.00","0.00"
"11/03/2020 9:14:06 AM","0.00","0.00","0.00"
"11/03/2020 9:14:03 AM","0.00","0.00","1.00"
"11/03/2020 8:42:58 AM","0.00","1.00","1.00"
"11/03/2020 8:30:45 AM","1.00","1.00","1.00"
"11/03/2020 8:30:44 AM","1.00","1.00","0.00"
"11/03/2020 8:30:43 AM","1.00","1.00","1.00"
"11/03/2020 8:30:42 AM","1.00","1.00","0.00"
"11/03/2020 7:39:40 AM","1.00","1.00","1.00"
"11/03/2020 7:31:48 AM","1.00","1.00","1.00"
"11/03/2020 7:30:05 AM","1.00","1.00","1.00"
"11/03/2020 7:30:03 AM","1.00","1.00","1.00"
"11/03/2020 7:29:53 AM","1.00","1.00","0.00"
"11/03/2020 7:29:46 AM","1.00","0.00","0.00"
"11/03/2020 6:34:46 AM","0.00","0.00","0.00"
"11/03/2020 6:34:43 AM","0.00","0.00","1.00"
"11/03/2020 6:24:44 AM","0.00","1.00","1.00"
"11/03/2020 6:07:31 AM","0.00","1.00","1.00"
"11/03/2020 6:03:36 AM","0.00","1.00","1.00"
"11/03/2020 5:57:53 AM","1.00","1.00","1.00"
"11/03/2020 5:50:28 AM","0.00","1.00","1.00"
"11/03/2020 5:50:07 AM","0.00","1.00","1.00"
"11/03/2020 5:50:04 AM","0.00","1.00","1.00"
"11/03/2020 5:49:11 AM","0.00","1.00","1.00"
"11/03/2020 5:49:10 AM","0.00","1.00","0.00"
"11/03/2020 5:47:32 AM","0.00","1.00","1.00"
"11/03/2020 5:46:05 AM","1.00","1.00","1.00"
"11/03/2020 5:45:53 AM","1.00","1.00","0.00"
"11/03/2020 5:39:46 AM","1.00","0.00","0.00"
"10/03/2020 5:19:26 PM","0.00","0.00","0.00"
"10/03/2020 5:19:23 PM","0.00","0.00","1.00"
"10/03/2020 4:48:11 PM","0.00","1.00","1.00"
"10/03/2020 2:50:37 PM","1.00","1.00","1.00"
"10/03/2020 2:50:33 PM","1.00","1.00","0.00"
"10/03/2020 2:50:23 PM","1.00","0.00","0.00"
"10/03/2020 10:16:46 AM","0.00","0.00","0.00"
"10/03/2020 10:16:43 AM","0.00","0.00","1.00"
"10/03/2020 9:45:34 AM","0.00","1.00","1.00"
"10/03/2020 8:45:01 AM","1.00","1.00","1.00"
"10/03/2020 8:42:52 AM","0.00","1.00","1.00"
"10/03/2020 7:16:22 AM","1.00","1.00","1.00"
"10/03/2020 5:59:59 AM","0.00","1.00","1.00"
"10/03/2020 5:57:07 AM","1.00","1.00","1.00"
"10/03/2020 5:57:03 AM","1.00","1.00","0.00"
