"Timestamp","FCU-00-13   PIR Log","FCU-00-13   Enable Log","FCU-00-13  Status Log"
"21/02/2020 11:07:42 AM","0.00","1.00","1.00"
"21/02/2020 11:00:00 AM","0.00","1.00","1.00"
"21/02/2020 10:59:25 AM","0.00","1.00","1.00"
"21/02/2020 10:59:13 AM","0.00","1.00","0.00"
"20/02/2020 5:03:26 PM","0.00","0.00","0.00"
"20/02/2020 5:03:23 PM","0.00","0.00","1.00"
"20/02/2020 4:52:43 PM","0.00","1.00","1.00"
"20/02/2020 4:52:33 PM","0.00","1.00","0.00"
"20/02/2020 4:04:04 PM","0.00","0.00","0.00"
"20/02/2020 4:04:03 PM","0.00","0.00","1.00"
"20/02/2020 3:59:50 PM","0.00","1.00","1.00"
"20/02/2020 3:57:46 PM","0.00","1.00","1.00"
"20/02/2020 3:57:41 PM","0.00","1.00","1.00"
"20/02/2020 3:57:35 PM","0.00","1.00","1.00"
"20/02/2020 3:55:07 PM","0.00","1.00","1.00"
"20/02/2020 3:55:04 PM","0.00","1.00","1.00"
"20/02/2020 3:55:03 PM","0.00","1.00","0.00"
"20/02/2020 3:51:20 PM","0.00","1.00","1.00"
"20/02/2020 3:51:19 PM","0.00","1.00","1.00"
"20/02/2020 3:51:06 PM","0.00","1.00","1.00"
"20/02/2020 3:50:53 PM","0.00","1.00","0.00"
"20/02/2020 2:47:45 PM","0.00","0.00","0.00"
"20/02/2020 2:47:43 PM","0.00","0.00","1.00"
"20/02/2020 2:30:54 PM","0.00","1.00","1.00"
"20/02/2020 2:30:20 PM","0.00","1.00","1.00"
"20/02/2020 2:30:19 PM","0.00","1.00","1.00"
"20/02/2020 2:29:54 PM","0.00","1.00","1.00"
"20/02/2020 2:29:53 PM","0.00","1.00","0.00"
"20/02/2020 2:29:29 PM","0.00","1.00","1.00"
"20/02/2020 2:29:22 PM","0.00","1.00","1.00"
"20/02/2020 2:28:25 PM","0.00","1.00","1.00"
"20/02/2020 2:28:13 PM","0.00","1.00","0.00"
"20/02/2020 11:34:45 AM","0.00","0.00","0.00"
"20/02/2020 11:34:43 AM","0.00","0.00","1.00"
"20/02/2020 11:29:35 AM","0.00","1.00","1.00"
"20/02/2020 11:29:30 AM","0.00","1.00","1.00"
"20/02/2020 11:29:29 AM","0.00","1.00","0.00"
"20/02/2020 11:29:05 AM","0.00","1.00","1.00"
"20/02/2020 11:29:04 AM","0.00","1.00","0.00"
"20/02/2020 11:29:00 AM","0.00","1.00","1.00"
"20/02/2020 11:28:59 AM","0.00","1.00","0.00"
"20/02/2020 11:28:17 AM","0.00","1.00","1.00"
"20/02/2020 11:27:40 AM","0.00","1.00","1.00"
"20/02/2020 11:27:39 AM","0.00","1.00","0.00"
"20/02/2020 11:25:37 AM","0.00","1.00","1.00"
"20/02/2020 11:25:36 AM","0.00","1.00","0.00"
"20/02/2020 11:25:35 AM","0.00","1.00","1.00"
"20/02/2020 11:25:32 AM","0.00","1.00","1.00"
"20/02/2020 11:25:31 AM","0.00","1.00","0.00"
"20/02/2020 11:23:27 AM","0.00","1.00","1.00"
"20/02/2020 11:22:59 AM","0.00","1.00","1.00"
"20/02/2020 11:22:58 AM","0.00","1.00","0.00"
